record_id,asset_id,asset_name,category,acquisition_cost,acquisition_date,depreciation_method,accumulated_depreciation,nbv,status,subsidiary_code,disposal_gain,addition_id,approval_id,transfer_type,change_type,last_physical_count_date
R0000,A0000,Asset 000,Building,673179.98,2022-04-11,straight_line,56864.37,-4806.42,disposed,SUB-1,12445.16,ADD-0000,,subsidiary,depreciation_method,
R0001,A0001,Asset 001,Furniture,7644.4,2020-11-22,straight_line,4026.17,3618.23,active,SUB-1,0,ADD-0001,APP-0001,internal,none,2025-08-07
R0002,A0002,Asset 002,Building,3374.5,2023-01-15,declining_balance,2499.99,874.51,active,SUB-1,0,ADD-0002,APP-0002,internal,none,2025-07-24
R0003,A0003,Asset 003,IT,27155.7,2023-10-22,units_of_production,14464.56,12691.14,active,SUB-4,0,ADD-0003,APP-0003,internal,none,2025-08-30
R0004,A0004,Asset 004,Furniture,32714.3,2024-10-30,declining_balance,19638.0,13076.3,active,SUB-3,0,ADD-0004,APP-0004,internal,none,2025-07-12
R0005,A0005,Asset 005,Vehicle,6859.8,2019-06-27,declining_balance,4010.63,2849.17,active,SUB-1,0,ADD-0005,APP-0005,internal,none,2025-08-24
R0006,A0006,Asset 006,Building,565775.2,2019-03-02,units_of_production,114504.34,451270.86,active,SUB-2,0,ADD-0006,APP-0006,internal,none,2025-06-09
R0007,A0007,Asset 007,Vehicle,11929.7,2021-09-02,straight_line,4356.88,7572.82,active,SUB-3,0,ADD-0007,APP-0007,internal,none,2025-08-31
R0008,A0008,Asset 008,Equipment,1503.8,2020-02-27,units_of_production,1564.04,-60.24,active,SUB-3,0,ADD-0008,APP-0008,subsidiary,none,2025-06-12
R0009,A0009,Asset 009,Furniture,1544.7,2024-07-21,units_of_production,321.61,1223.09,active,SUB-4,0,ADD-0009,APP-0009,internal,none,2025-06-14
R0010,A0010,Asset 010,IT,94329.3,2019-12-16,units_of_production,67945.23,26384.07,active,SUB-4,0,ADD-0010,APP-0010,internal,none,2025-08-07
R0011,A0011,Asset 011,Equipment,3047124.4,2023-01-06,straight_line,3074376.67,-27252.27,active,SUB-3,0,ADD-0011,APP-0011,internal,none,2025-07-23
R0012,A0012,Asset 012,Equipment,1489.5,2021-11-24,declining_balance,1448.18,41.32,active,SUB-4,0,ADD-0012,APP-0012,subsidiary,none,2025-08-23
